Categoria,N,Region,Nombre,Web,Web1,Web2,Pags
Hotel,19,Cusco,Casa Andina Private Collection Valle Sagrado,https://www.tripadvisor.co.uk/Hotel_Review-g294321-d580921-Reviews-Casa_Andina_Private_Collection_Valle_Sagrado-Urubamba_Sacred_Valley_Cusco_Region.html,https://www.tripadvisor.co.uk/Hotel_Review-g294321-d580921-Reviews-,Casa_Andina_Private_Collection_Valle_Sagrado-Urubamba_Sacred_Valley_Cusco_Region.html#REVIEWS,207
Hotel,20,Cusco,Inkaterra Machu Picchu Pueblo Hotel,https://www.tripadvisor.co.uk/Hotel_Review-g304036-d306634-Reviews-Inkaterra_Machu_Picchu_Pueblo_Hotel-Aguas_Calientes_Sacred_Valley_Cusco_Region.html,https://www.tripadvisor.co.uk/Hotel_Review-g304036-d306634-Reviews-,Inkaterra_Machu_Picchu_Pueblo_Hotel-Aguas_Calientes_Sacred_Valley_Cusco_Region.html#REVIEWS,467
Hotel,1,Lima,JW Marriott Hotel Lima,https://www.tripadvisor.co.uk/Hotel_Review-g294316-d299825-Reviews-JW_Marriott_Hotel_Lima-Lima_Lima_Region.html,https://www.tripadvisor.co.uk/Hotel_Review-g294316-d299825-Reviews-,JW_Marriott_Hotel_Lima-Lima_Lima_Region.html#REVIEWS,464
Hotel,2,Lima,Belmond Miraflores Park,https://www.tripadvisor.co.uk/Hotel_Review-g294316-d307698-Reviews-Belmond_Miraflores_Park-Lima_Lima_Region.html,https://www.tripadvisor.co.uk/Hotel_Review-g294316-d307698-Reviews-,Belmond_Miraflores_Park-Lima_Lima_Region.html#REVIEWS,276
LugarTuristico,2,Cusco,Sacsayhuamán,https://www.tripadvisor.co.uk/Attraction_Review-g294314-d311726-Reviews-Sacsayhuaman-Cusco_Cusco_Region.html,https://www.tripadvisor.co.uk/Attraction_Review-g294314-d311726-Reviews-,Sacsayhuaman-Cusco_Cusco_Region.html#REVIEWS,490
LugarTuristico,4,Cusco,Machu Picchu,https://www.tripadvisor.co.uk/Attraction_Review-g294318-d668949-Reviews-Machu_Picchu-Machu_Picchu_Sacred_Valley_Cusco_Region.html,https://www.tripadvisor.co.uk/Attraction_Review-g294318-d668949-Reviews-,Machu_Picchu-Machu_Picchu_Sacred_Valley_Cusco_Region.html#REVIEWS,761
LugarTuristico,1,Lima,Museo Larco,https://www.tripadvisor.co.uk/Attraction_Review-g294316-d311651-Reviews-Museo_Larco-Lima_Lima_Region.html,https://www.tripadvisor.co.uk/Attraction_Review-g294316-d311651-Reviews-,Museo_Larco-Lima_Lima_Region.html#REVIEWS,424
LugarTuristico,2,Lima,Parque de la Reserva,https://www.tripadvisor.co.uk/Attraction_Review-g294316-d1422223-Reviews-Parque_de_la_Reserva-Lima_Lima_Region.html,https://www.tripadvisor.co.uk/Attraction_Review-g294316-d1422223-Reviews-,Parque_de_la_Reserva-Lima_Lima_Region.html#REVIEWS,288
Restaurant,19,Cusco,Pachapapa,https://www.tripadvisor.co.uk/Restaurant_Review-g294314-d1076636-Reviews-Pachapapa-Cusco_Cusco_Region.html,https://www.tripadvisor.co.uk/Restaurant_Review-g294314-d1076636-Reviews-,Pachapapa-Cusco_Cusco_Region.html#REVIEWS,166
Restaurant,20,Cusco,Chicha por Gaston Acurio,https://www.tripadvisor.co.uk/Restaurant_Review-g294314-d1381283-Reviews-Chicha_por_Gaston_Acurio-Cusco_Cusco_Region.html,https://www.tripadvisor.co.uk/Restaurant_Review-g294314-d1381283-Reviews-,Chicha_por_Gaston_Acurio-Cusco_Cusco_Region.html#REVIEWS,147
Restaurant,7,Lima,Cebicheria La Mar,https://www.tripadvisor.co.uk/Restaurant_Review-g294316-d779051-Reviews-La_Mar-Lima_Lima_Region.html,https://www.tripadvisor.co.uk/Restaurant_Review-g294316-d779051-Reviews-,La_Mar-Lima_Lima_Region.html#REVIEWS,146
Restaurant,18,Lima,Astrid & Gastón,https://www.tripadvisor.co.uk/Restaurant_Review-g294316-d789991-Reviews-Astrid_Gaston-Lima_Lima_Region.html,https://www.tripadvisor.co.uk/Restaurant_Review-g294316-d789991-Reviews-,Astrid_Gaston-Lima_Lima_Region.html#REVIEWS,188
